business_name,text_original,rating,rating_category,rating_group,review_word_count,final_cluster,theme,theme_confidence,restaurant_type
Haci'nin Yeri - Yigit Lokantasi,The food was just like the ones my mother made. Prices were reasonable.,5,taste,POSITIVE (4-5),13,3,Price & Value,High,Local Restaurant
Pizza Fellas,The ambiance of the place is nice; when we went; there was a lot of queue; and after waiting for a while; they took our place. The friend who took our order said half a half pizza and we preferred half chicken and half steak. Two people were easily satisfied; a lot of patterns.,5,indoor_atmosphere,POSITIVE (4-5),54,5,Waiting Time & Service Friction,High,Pizza
Pizza Fellas,"Flavor : It has nothing but dough taste. Labor : Not befitting a touristic place. Service : There was no wet wipes and napkins on the table, but there was no sympathetic family to say. This service and this taste were not available at this price.",2,taste,NEGATIVE (1-2),46,0,Food Taste & Satisfaction,Medium,Pizza
Pizza Fellas,It is in the center; easy to reach; close to the parking lot; the prices are partially affordable; the products are delicious but not quite satisfying; the seating places are cramped; the place is a little flat.,4,indoor_atmosphere,POSITIVE (4-5),37,9,Positive Overall Experience,Medium,Pizza
Pizza Fellas,They make delicious pizza with nice ingredients on thin dough. Slice pizza and all pizza options are available. You can try two different flavors as a whole by making two different choices for the whole pizza. We wanted the mushroom and sausage. It was very nice; warm; and it was cooked in its consistency without drying the ingredients.,5,outdoor_atmosphere,POSITIVE (4-5),58,4,Pizza Experience,High,Pizza
Pizza Fellas,It's in a nice place but it's very small and their pizza is not that good to be exaggerated. Pizza dough is nice and thin. They do not offer advice to the customer.,3,taste,MIXED (3),33,4,Pizza Experience,High,Pizza
Pizza Fellas,I strongly recommend. If I come to the taste part; it was very enjoyable to eat with their special sauces. Also the whole pizza was huge.,5,outdoor_atmosphere,POSITIVE (4-5),26,4,Pizza Experience,High,Pizza
Pizza Fellas,It is very tasty; similar to Italian pizzas. Roast beef and mohair 180 TL; other pizzas 150 TL. An adult male eats 6 slices; pizzas are one size and 8 slices.,4,menu,POSITIVE (4-5),31,4,Pizza Experience,High,Pizza
Pizza Fellas,Do not come around Marmaris and do not leave without eating pizza at Pizza Fellas. We ate mixed pizza; they can make two types of pizza. So delicious!,5,taste,POSITIVE (4-5),28,4,Pizza Experience,High,Pizza
Pizza Fellas,I never thought that the best pizza I've ever eaten would be in Akyaka. Thin pizzas are very tasty and the options are very good. We recommend it to everyone who comes to Akyaka.,5,menu,POSITIVE (4-5),34,4,Pizza Experience,High,Pizza
Pizza Fellas,It was as if a very delicious Italian chef had come out of his hands. You can eat with pleasure. The owners are very good people. I recommend.,4,indoor_atmosphere,POSITIVE (4-5),28,2,Overall Dining Experience & Menu Variety,Medium,Pizza
Pizza Fellas,The pizza is big enough for 2 people. The dough is very thin. Price is between 120-140 TL.,4,taste,POSITIVE (4-5),18,4,Pizza Experience,High,Pizza
Cafe Inn,The environment; the interest and friendliness of the employees; the taste is incredible. It is so beautiful inside that you do not prefer to sit at the bottom of the sea. Depending on the day; there are also things that are not written on the menu; be sure to check it out. Hours have passed since the meal; we are still talking about the beef brisket.,5,indoor_atmosphere,POSITIVE (4-5),66,9,Positive Overall Experience,Medium,Cafe
Cafe Inn,Without any taste how they are at the first rank!!!! We ate cafe Inn pizza. It was 70 tl.,1,taste,NEGATIVE (1-2),19,4,Pizza Experience,High,Cafe
Cafe Inn,Pizza is delicious.. I can say it is one of the rare tastes. Prices are in the 200-300 range and one pizza is more than enough for two people if you are not very hungry. The scenery is already gorgeous.,5,indoor_atmosphere,POSITIVE (4-5),40,4,Pizza Experience,High,Cafe
Cafe Inn,The vegan breakfast made me extremely happy. It was nice.,4,menu,POSITIVE (4-5),10,2,Overall Dining Experience & Menu Variety,Medium,Cafe
Cafe Inn,Whatever we ate was good. The Italian Restaurant is the first thing that comes to mind; apart from pizza and pasta; ciger yahni was successful; purslane salad; presentations are successful. Taste point in Datca.,5,outdoor_atmosphere,POSITIVE (4-5),34,2,Overall Dining Experience & Menu Variety,Medium,Cafe
Cafe Inn,Very enjoyable beautiful place. Pizza salad food taste is great.,5,taste,POSITIVE (4-5),10,4,Pizza Experience,High,Cafe
Cafe Inn,Its breakfast is more satisfying than the places around it.,4,indoor_atmosphere,POSITIVE (4-5),10,7,"Cleanliness, Ambience & Environment",High,Cafe
Cafe Inn,Nice intimate restaurant. Good service. Eye for detail. Clean. Really good food; well presented.,5,outdoor_atmosphere,POSITIVE (4-5),14,9,Positive Overall Experience,Medium,Cafe
Cafe Inn,The food is delicious but a little pricey. The best Cappucino in Datça is here..,3,menu,MIXED (3),15,1,Regional / Specialty Food Experience,Medium,Cafe
Cafe Inn,It's a very delicious; beautiful small business; but the appointment is a bit difficult to find; the pizzas are great Cafe Inn pizza and a wonderful 4 cheese and brownie as dessert. Thank you for your good wishes.,5,taste,POSITIVE (4-5),38,4,Pizza Experience,High,Cafe
Cafe Inn,When I went; I waited for almost 20 minutes for the waiters to take care of me. The taste was not bad. The surrounding was beautiful.,2,outdoor_atmosphere,NEGATIVE (1-2),26,5,Waiting Time & Service Friction,High,Cafe
Riviera,"It is a very, very expensive place. It took 30 minutes for 2 drinks to arrive.",3,menu,MIXED (3),16,9,Positive Overall Experience,Medium,Other / Unknown
Riviera,I had the creamy chicken vegetable stew. It tasted excellent. It was quite satisfying. The environment is beautiful and spacious.,5,taste,POSITIVE (4-5),20,2,Overall Dining Experience & Menu Variety,Medium,Other / Unknown
Riviera,quality service and rich menu. the attitude of the staff is really excellent. A business that deserves 5 stars.,5,outdoor_atmosphere,POSITIVE (4-5),19,6,Staff & Service Quality,High,Other / Unknown
Riviera,The sushi was too small so it was not possible to taste the ingredients; the rice was overcooked and lacked flavor; it was missing except for the tail of the shrimp.,2,taste,NEGATIVE (1-2),31,2,Overall Dining Experience & Menu Variety,Medium,Other / Unknown
Riviera,The staff was very engaged. Service and taste were perfect.,4,indoor_atmosphere,POSITIVE (4-5),10,6,Staff & Service Quality,High,Other / Unknown
Riviera,Perfect location next to the sea. Music; light in the evening lounge atmosphere. In short; everything is beautiful.,4,outdoor_atmosphere,POSITIVE (4-5),18,9,Positive Overall Experience,Medium,Other / Unknown
Riviera,"It was very expensive, but taste wasn't bad.",2,menu,NEGATIVE (1-2),8,3,Price & Value,High,Other / Unknown
Riviera,Good quality service; nice customer service; they are happy to help with a smile.,5,indoor_atmosphere,POSITIVE (4-5),14,6,Staff & Service Quality,High,Other / Unknown
Riviera,Scrambled eggs with casserole and toast waited 30 minutes. At 12:30pm the main menu was denied and showed only breakfast available. Prices are much higher than other places.,2,taste,NEGATIVE (1-2),28,5,Waiting Time & Service Friction,High,Other / Unknown
Riviera,"Nice view, good staff, clean place and nice atmosphere.",3,outdoor_atmosphere,MIXED (3),9,9,Positive Overall Experience,Medium,Other / Unknown
Riviera,Nice food and good service; located just near the beach as well.,5,indoor_atmosphere,POSITIVE (4-5),12,9,Positive Overall Experience,Medium,Other / Unknown
Sakip Usta Gaziantep,It was very nice to be greeted with a smile when we first entered; we went with my wife; the services are very fast; the empty services are removed immediately; the washbasins were hygienic and clean; and I would recommend a very reasonable place.,4,taste,POSITIVE (4-5),44,9,Positive Overall Experience,Medium,Other / Unknown
Sakip Usta Gaziantep,Kebabs are good; trotters are good; desserts are good. Actually; the decor part of the atmosphere is good. Only a lot of noise comes from the kitchen part. Employees are smiling.,4,outdoor_atmosphere,POSITIVE (4-5),31,1,Regional / Specialty Food Experience,Medium,Other / Unknown
Sakip Usta Gaziantep,If you come to Antep; sit down and taste the Beyran soup; served plain and with garlic.,5,indoor_atmosphere,POSITIVE (4-5),17,1,Regional / Specialty Food Experience,Medium,Other / Unknown
Sakip Usta Gaziantep,I asked for garlic; but I had a hard time getting the taste of the meat from the garlic flavor. I'll try again with little or no garlic. Quite satisfying. I like the taste too; you should definitely try it.,4,taste,POSITIVE (4-5),40,8,Burger Experience,High,Other / Unknown
Sakip Usta Gaziantep,Taste was amazing! Price was not high.,4,menu,POSITIVE (4-5),7,3,Price & Value,High,Other / Unknown
Sakip Usta Gaziantep,When I ate it in the past; it tasted very good; I think the chef has changed. The atmosphere was average.,2,indoor_atmosphere,NEGATIVE (1-2),21,2,Overall Dining Experience & Menu Variety,Medium,Other / Unknown
Sakip Usta Gaziantep,We were very satisfied. I strongly recommend trying it. Delicious appetizers come with the meals.,5,taste,POSITIVE (4-5),15,2,Overall Dining Experience & Menu Variety,Medium,Other / Unknown
Sakip Usta Gaziantep,The food tastes good. The atmosphere of the place was not very attractive.,3,outdoor_atmosphere,MIXED (3),13,7,"Cleanliness, Ambience & Environment",High,Other / Unknown
Sakip Usta Gaziantep,We ate 1 mumbar and 1 kusleme and paid 310 TL. The meals were very tasty.,4,taste,POSITIVE (4-5),16,3,Price & Value,High,Other / Unknown
Sakip Usta Gaziantep,Very cheap and delicious!,5,menu,POSITIVE (4-5),4,3,Price & Value,High,Other / Unknown
Sakip Usta Gaziantep,Ayran came when the meal was over; the food was very bitter.,5,indoor_atmosphere,POSITIVE (4-5),12,5,Waiting Time & Service Friction,High,Other / Unknown
Imam Cagdas,Although the prices are a little high; the quality is high so it does not disappoint. The taste was very good; well done!,5,outdoor_atmosphere,POSITIVE (4-5),23,3,Price & Value,High,Other / Unknown
Imam Cagdas,We ordered Etli Ali Nazik Kebab. They said he was the most famous. We ate meat with yogurt. The food was cold.,2,taste,NEGATIVE (1-2),22,5,Waiting Time & Service Friction,High,Other / Unknown
Imam Cagdas,We came because it is a very famous place. They had really delicious food.,4,menu,POSITIVE (4-5),14,7,"Cleanliness, Ambience & Environment",High,Other / Unknown
Imam Cagdas,Ali nazik was 240 tl lahmacun 50 tl even tea with a fee of 5 tl. We visited so many places; this was the most expensive.,3,indoor_atmosphere,MIXED (3),26,3,Price & Value,High,Other / Unknown
Imam Cagdas,The taste was very good but the prices were also very high.,5,taste,POSITIVE (4-5),12,3,Price & Value,High,Other / Unknown
Imam Cagdas,Located in Gaziantep historical bazaar; the place stands out with its beautiful and spacious ambiance. I liked the place very much; we came for dessert after dinner.,5,outdoor_atmosphere,POSITIVE (4-5),27,9,Positive Overall Experience,Medium,Other / Unknown
Imam Cagdas,I had the chance to taste many flavors; all of them were very good; I was amazed by Ali Nazik Kebab.,5,indoor_atmosphere,POSITIVE (4-5),21,0,Food Taste & Satisfaction,Medium,Other / Unknown
Imam Cagdas,The restaurant that made our four-day Gaziantep holiday poison! There is already excessive noise; it is impossible to hear the person next to you. The waiters are indifferent; the order takes too long to arrive.,1,menu,NEGATIVE (1-2),35,5,Waiting Time & Service Friction,High,Other / Unknown
Imam Cagdas,"They sold us rotten pistachios, it sucks!",1,taste,NEGATIVE (1-2),7,5,Waiting Time & Service Friction,High,Other / Unknown
Imam Cagdas,I don't know why we ate here despite the exorbitant prices. A portion of kebab or sis meat product starts from 220 TL as of the end of June 2023. Naturally; you expect a good portion; but a tiny portion in the middle of the plate.,2,indoor_atmosphere,NEGATIVE (1-2),46,3,Price & Value,High,Other / Unknown
Imam Cagdas,"A great business that does not compromise on its taste; lahmacun, garlic kebab; yoghurt kebab; the smile of the waiters; everything is in place; thank you very much for the nice service and delicious food.",5,outdoor_atmosphere,POSITIVE (4-5),35,1,Regional / Specialty Food Experience,Medium,Other / Unknown
Gold Semaver,The breakfast was very good; I recommend it; the presentations were also eye-catching. We paid 240tl for the table you see in the photo; including 6 teas and 2 Turkish coffees.,5,taste,POSITIVE (4-5),31,2,Overall Dining Experience & Menu Variety,Medium,Other / Unknown
Gold Semaver,The place is beautiful. The staff was very nice. We asked for tiramisu. It was very fresh and beautiful.,4,outdoor_atmosphere,POSITIVE (4-5),19,9,Positive Overall Experience,Medium,Other / Unknown
Gold Semaver,Beautiful place. The breakfast is said to be good. I had tea in the evening; it was delicious. It tastes like a samovar. The environment is calm. The music is jazz style; suitable for the calm and soft atmosphere.,5,indoor_atmosphere,POSITIVE (4-5),39,9,Positive Overall Experience,Medium,Other / Unknown
Gold Semaver,Hookah and ambiance is super!,5,menu,POSITIVE (4-5),5,10,Short Positive Praise / Recommendation,High,Other / Unknown
Gold Semaver,They have a problem with the service; but if you're going to drink tea; they do it well. Your tea is always hot over the fire.,3,taste,MIXED (3),26,6,Staff & Service Quality,High,Other / Unknown
Gold Semaver,Some of the coffee I wanted came spilled; the coffee tasted dry. Also; my wife's order was wrong.,1,taste,NEGATIVE (1-2),18,0,Food Taste & Satisfaction,Medium,Other / Unknown
Gold Semaver,Great.,4,outdoor_atmosphere,POSITIVE (4-5),1,10,Short Positive Praise / Recommendation,High,Other / Unknown
Gold Semaver,Lovely; affordable seafront spot to while away the afternoon smoking nargile and playing backgammon (tavla). Super hospitable employees and enjoyable ambience.,5,indoor_atmosphere,POSITIVE (4-5),21,9,Positive Overall Experience,Medium,Other / Unknown
Gold Semaver,A cheap and delicious place. If you are passing by; you should not continue without having a cup of tea.,4,taste,POSITIVE (4-5),20,9,Positive Overall Experience,Medium,Other / Unknown
Gold Semaver,Seaside great view!,5,outdoor_atmosphere,POSITIVE (4-5),3,10,Short Positive Praise / Recommendation,High,Other / Unknown
Gold Semaver,Prices are nice,4,menu,POSITIVE (4-5),3,3,Price & Value,High,Other / Unknown
Fethiye Dondurmacisi,Bitter; mango; Bodrum tangerine; honey almond; Big Babas; mastic gum; walnut; blackberry and forest fruit definitely recommend..,5,taste,POSITIVE (4-5),17,0,Food Taste & Satisfaction,Medium,Dessert / Ice Cream
Fethiye Dondurmacisi,The prices are cheap from the center; the ice cream is legendary; don't miss out; it's worth waiting in line; it's the best ice cream shop in Fethiye. Real milk ice cream,5,indoor_atmosphere,POSITIVE (4-5),32,3,Price & Value,High,Dessert / Ice Cream
Fethiye Dondurmacisi,Absolutely perfect come try it..,5,outdoor_atmosphere,POSITIVE (4-5),5,10,Short Positive Praise / Recommendation,High,Dessert / Ice Cream
Fethiye Dondurmacisi,Terrible. This is a lie. This is not ice cream! This gum is an ice cream substitute.,1,taste,NEGATIVE (1-2),17,0,Food Taste & Satisfaction,Medium,Dessert / Ice Cream
Fethiye Dondurmacisi,As I was crossing the road; I noticed that we stopped. The light ad is very good because everything has ice cream icons. The only normal price I've seen in Fethiye is 6 TL.,4,indoor_atmosphere,POSITIVE (4-5),34,3,Price & Value,High,Dessert / Ice Cream
Fethiye Dondurmacisi,The atmosphere of the place was nice; if you want to taste the ice creams; I can say that it is an ordinary ice cream that you can eat anywhere.,3,outdoor_atmosphere,MIXED (3),30,9,Positive Overall Experience,Medium,Dessert / Ice Cream
Fethiye Dondurmacisi,It literally gave me the feeling of chewing sugar. It's not even about ice cream.,2,taste,NEGATIVE (1-2),15,0,Food Taste & Satisfaction,Medium,Dessert / Ice Cream
Fethiye Dondurmacisi,We visited with my friends. The lemon one was great!,4,taste,POSITIVE (4-5),10,0,Food Taste & Satisfaction,Medium,Dessert / Ice Cream
Fethiye Dondurmacisi,A great taste. I went on recommendation; it was really true. I also recommend it to you.,5,outdoor_atmosphere,POSITIVE (4-5),17,10,Short Positive Praise / Recommendation,High,Dessert / Ice Cream
Fethiye Dondurmacisi,Their prices are very reasonable and their ice creams are delicious. There is not only ice cream but also dessert sales inside. There are many options for ice cream; which is a very nice detail.,5,taste,POSITIVE (4-5),35,3,Price & Value,High,Dessert / Ice Cream
Fethiye Dondurmacisi,On the way to the city center of Fethiye; a sweet place caught our attention. The ice cream cone-shaped totem on the road was very original.,4,outdoor_atmosphere,POSITIVE (4-5),26,1,Regional / Specialty Food Experience,Medium,Dessert / Ice Cream
My Friends Burger,The hamburger bread was very nice. I didn't like his meatballs very much.Orders are coming out very quickly; and the working friends are very kind; thank you.,4,indoor_atmosphere,POSITIVE (4-5),27,8,Burger Experience,High,Burger
My Friends Burger,A place that makes unorthodox burgers in Samsun. The hamburger bread is big and wide with lots of sesame seeds.,4,outdoor_atmosphere,POSITIVE (4-5),20,1,Regional / Specialty Food Experience,Medium,Burger
My Friends Burger,It's a very nice place; the hamburger is very nice. The staff is very good; there is a children's playground,5,indoor_atmosphere,POSITIVE (4-5),20,9,Positive Overall Experience,Medium,Burger
My Friends Burger,The place is nice; the waiters work sulkily. The location; service and presentation are beautiful. And his hamburger might be the most mediocre hamburger I've ever had. There is no meat taste in the meatball.,2,taste,NEGATIVE (1-2),35,8,Burger Experience,High,Burger
My Friends Burger,Mushroom burger the meat stays thin inside the huge burger bread; and the meat and mushrooms do not stay in the bread because of the sauce applied on the bread.,3,indoor_atmosphere,MIXED (3),30,8,Burger Experience,High,Burger
My Friends Burger,They have really saturated menus. The prices are very good; and as a place with a very nice interior and exterior decor with sea views; I would definitely recommend it at the same time.,5,menu,POSITIVE (4-5),34,9,Positive Overall Experience,Medium,Burger
My Friends Burger,I never liked the service very bad; when we brought the wrong burger and returned it; we had to wait that much longer. The potatoes were terrible; the only onion rings and mushrooms were beautiful. I will never go to this place again.,1,taste,NEGATIVE (1-2),43,6,Staff & Service Quality,High,Burger
My Friends Burger,The burger is successful; but the service is very slow; I came to the place 2 times; they bring the order incorrectly.,3,outdoor_atmosphere,MIXED (3),22,6,Staff & Service Quality,High,Burger
My Friends Burger,The menu content is beautifully varied and satisfying.,5,taste,POSITIVE (4-5),8,2,Overall Dining Experience & Menu Variety,Medium,Burger
My Friends Burger,The price was not right; I bought a 2-piece menu; the burger and bread did not taste good.,2,taste,NEGATIVE (1-2),18,3,Price & Value,High,Burger
My Friends Burger,The prices were generally reasonable; the tastes were also good enough.,4,menu,POSITIVE (4-5),11,3,Price & Value,High,Burger
Mcdonalds Fethiye,The menus offered by the friendly staff are something else; the flavors we have tasted.,5,indoor_atmosphere,POSITIVE (4-5),15,0,Food Taste & Satisfaction,Medium,Other / Unknown
Mcdonalds Fethiye,"I would like to thank the service in Fethiye branch and especially Mr. Samet; the official here, for his interest and relevance.",4,taste,POSITIVE (4-5),22,6,Staff & Service Quality,High,Other / Unknown
Mcdonalds Fethiye,The menu is incomplete; not much; usually a disaster with happy sweet toys; felt-tip pens and a few cardboard coloring pages.,3,outdoor_atmosphere,MIXED (3),21,7,"Cleanliness, Ambience & Environment",High,Other / Unknown
Mcdonalds Fethiye,Taste is exactly the same as in classic hamburgers; prices are extra high.,4,menu,POSITIVE (4-5),13,8,Burger Experience,High,Other / Unknown
Mcdonalds Fethiye,Every time I come to Fethiye; I stop by and fill my stomach with pleasure.,4,indoor_atmosphere,POSITIVE (4-5),15,10,Short Positive Praise / Recommendation,High,Other / Unknown
Mcdonalds Fethiye,In general; everything was good; but the tables were not collected during the 35-45 minutes I was there. It was messy inside.,4,taste,POSITIVE (4-5),22,7,"Cleanliness, Ambience & Environment",High,Other / Unknown
Mcdonalds Fethiye,The ambiance of the place looks a bit old.,3,outdoor_atmosphere,MIXED (3),9,7,"Cleanliness, Ambience & Environment",High,Other / Unknown
Mcdonalds Fethiye,They are very fast and the food tastes good too.,5,taste,POSITIVE (4-5),10,2,Overall Dining Experience & Menu Variety,Medium,Other / Unknown
Mcdonalds Fethiye,The potatoes were almost dead and tasteless.,2,taste,NEGATIVE (1-2),7,5,Waiting Time & Service Friction,High,Other / Unknown
Mcdonalds Fethiye,I didn't like the gloomy; dark atmosphere of the environment; the toilets are dirty; you are disgusted to wash your hands.,2,outdoor_atmosphere,NEGATIVE (1-2),21,7,"Cleanliness, Ambience & Environment",High,Other / Unknown
Mcdonalds Fethiye,There was a hair in the fries; disgusting.,1,menu,NEGATIVE (1-2),8,8,Burger Experience,High,Other / Unknown
Pukka Marmaris,In terms of price; it is above Marmaris prices. In other words; there are menus with prices above the average. I was satisfied with almost everything I ate and drank.,4,taste,POSITIVE (4-5),30,3,Price & Value,High,Other / Unknown
Pukka Marmaris,It is a place where the food is as amazing as the cocktails. The sole fish was very good. employees are very engaged.,5,indoor_atmosphere,POSITIVE (4-5),23,9,Positive Overall Experience,Medium,Other / Unknown
Pukka Marmaris,"Slagethi all nero was excellent. Beef ribs were always tender enough. Cheek, on the other hand; has preserved its taste even though its collection is a little small. If deterioration was to come; the services were passed and the environment was much expected.",3,menu,MIXED (3),43,2,Overall Dining Experience & Menu Variety,Medium,Other / Unknown
Pukka Marmaris,As we were passing on the road; it was pleasing to our eyes and we dived in. It was good overall.,4,outdoor_atmosphere,POSITIVE (4-5),21,7,"Cleanliness, Ambience & Environment",High,Other / Unknown
Pukka Marmaris,For people living in Marmaris; it is a beautiful place to visit in summer and winter. I recommend you to try liver because they serve it in a way I have never tried before and because of its amazing taste.,5,taste,POSITIVE (4-5),40,1,Regional / Specialty Food Experience,Medium,Other / Unknown
Pukka Marmaris,Wonderful place where you can go with your family and have fun; nice place with live music...,5,indoor_atmosphere,POSITIVE (4-5),17,9,Positive Overall Experience,Medium,Other / Unknown
Pukka Marmaris,Prices were slightly higher than peers.,4,menu,POSITIVE (4-5),6,3,Price & Value,High,Other / Unknown
Pukka Marmaris,Pukka is a restaurant by the sea where you will have the most beautiful pictures and videos where you can organize a nice organization in Marmaris.,4,indoor_atmosphere,POSITIVE (4-5),26,1,Regional / Specialty Food Experience,Medium,Other / Unknown
Pukka Marmaris,Great concept and very tasty food.,5,taste,POSITIVE (4-5),6,2,Overall Dining Experience & Menu Variety,Medium,Other / Unknown
Pukka Marmaris,Popular place for Winter and Summer; food and drink menu wide enough and delicious.,5,outdoor_atmosphere,POSITIVE (4-5),14,9,Positive Overall Experience,Medium,Other / Unknown
Pukka Marmaris,Delicious. However; prices are as high as Marmaris in general in 2021.,4,menu,POSITIVE (4-5),12,3,Price & Value,High,Other / Unknown
Starbucks Bodrum,The interior design is simple and pleasant; with balconies and upper floors with sea views.,5,indoor_atmosphere,POSITIVE (4-5),15,7,"Cleanliness, Ambience & Environment",High,Other / Unknown
Starbucks Bodrum,"I can say that my worst flat white experience. ""Would you like milk?"" they said. I drank more milk than coffee.",1,outdoor_atmosphere,NEGATIVE (1-2),21,0,Food Taste & Satisfaction,Medium,Other / Unknown
Starbucks Bodrum,A great starbucks branch located in Bodrum center / bazaar / port. It's great because the layout; the environment; the place and the service are very successful.,5,outdoor_atmosphere,POSITIVE (4-5),27,9,Positive Overall Experience,Medium,Other / Unknown
Starbucks Bodrum,The place is very narrow; I can say it's the worst starbucks I've ever seen.,2,taste,NEGATIVE (1-2),15,9,Positive Overall Experience,Medium,Other / Unknown
Starbucks Bodrum,It was a pleasant snack; a refreshing drink in hot weather.,5,taste,POSITIVE (4-5),11,0,Food Taste & Satisfaction,Medium,Other / Unknown
Starbucks Bodrum,"The view is super, the cleanliness is bad, the location is very good",4,indoor_atmosphere,POSITIVE (4-5),13,7,"Cleanliness, Ambience & Environment",High,Other / Unknown
Starbucks Bodrum,The place is so sweet. but it gets too crowded in the evenings.,5,outdoor_atmosphere,POSITIVE (4-5),13,9,Positive Overall Experience,Medium,Other / Unknown
Starbucks Bodrum,Familiar coffee that I taste,3,menu,MIXED (3),5,0,Food Taste & Satisfaction,Medium,Other / Unknown
Starbucks Bodrum,Had to stop by for a take out coffee during the morning hours.,3,indoor_atmosphere,MIXED (3),13,5,Waiting Time & Service Friction,High,Other / Unknown
Starbucks Bodrum,Employees are very warm. in a very pleasant location.,5,indoor_atmosphere,POSITIVE (4-5),9,9,Positive Overall Experience,Medium,Other / Unknown
Starbucks Bodrum,The employees are very good and caring. Best Starbucks..,4,taste,POSITIVE (4-5),9,6,Staff & Service Quality,High,Other / Unknown
Churchill Bistro,Here you can find by far the best 4-cheese pizza you can eat in Bodrum. On top of that; you may have reasons to come back again and again with the unusual taste and presentation of the magnolia.,5,taste,POSITIVE (4-5),38,4,Pizza Experience,High,Other / Unknown
Churchill Bistro,A place we found by chance during the winter season. First of all; we sat down to drink coffee and the environment was so spacious and calm that I was able to hold a meeting that I had to do over the web without any problems.,5,outdoor_atmosphere,POSITIVE (4-5),46,9,Positive Overall Experience,Medium,Other / Unknown
Churchill Bistro,I have never seen a pizza with such a thin pizza dough that the material did not fall apart. Pizza mista is a great choice for mixed lovers.,4,menu,POSITIVE (4-5),28,4,Pizza Experience,High,Other / Unknown
Churchill Bistro,It is a very nice place to watch the matches; when it is closed in winter.,4,indoor_atmosphere,POSITIVE (4-5),16,9,Positive Overall Experience,Medium,Other / Unknown
Churchill Bistro,A pleasant place with a beach; delicious food,5,taste,POSITIVE (4-5),8,9,Positive Overall Experience,Medium,Other / Unknown
Churchill Bistro,It is a place where you can both enter at home and spend time with pleasure and eat and drink. The beach is very beautiful; your sea is clean. The food is also very good.,5,menu,POSITIVE (4-5),35,9,Positive Overall Experience,Medium,Other / Unknown
Churchill Bistro,It is a business that serves 2 orange juices that are not on the breakfast menu and that I did not order; as if they were on the menu; and charges an extra 40 TL.,2,outdoor_atmosphere,NEGATIVE (1-2),35,6,Staff & Service Quality,High,Other / Unknown
